"id","pid","product_sku","product_name","product_location","package_id","product_quantity","counted_quantity","difference","tare_pcs","tare_gram","tare_gross","counted_user","counted_time","confirm_user","confirm_time","status","integrated"
"110631","1887","0379-911-1887","Lernelingu","MDL04R1009","188700010002","2080","1920","-160","0","0","0","urska1","2022-10-19 07:47:28",NULL,NULL,"single","1"
"110632","17525","2161-911-17525","Gredy # 36/37","MLL02R1404","1752500010003","50","50","0","0","0","0","mojca12","2022-10-19 07:26:42",NULL,NULL,"single","1"
"110633","16959","2074-911-16959","Kitty white","MLL01R0903","1695900010005","480","480","0","0","0","0","lucijan1","2022-10-19 07:44:00",NULL,NULL,"single","1"
"110634","18447","2502-911-18447","Convila #XL (EUR L)","MLL03R1102","1844700010001","110","110","0","0","0","0","milena12","2022-10-19 07:20:01",NULL,NULL,"single","1"
"110635","18660","2643-911-18660","Capelnino # Brunette","MB_KOM253","1866000010001","152","150","-2","0","0","0","lucijan1","2022-10-19 13:50:46",NULL,NULL,"single","1"
"110636","17961","2386-911-17961","Triell # 40-41","MLL03R0702","1796100010002","360","360","0","0","0","0","milena12","2022-10-19 07:26:28",NULL,NULL,"single","1"
"110637","17673","2204-911-17673","Jurco","MB_KOM193","1767300010001","15","15","0","0","0","0","mojca12","2022-10-19 13:57:23",NULL,NULL,"single","1"
"110638","17521","2162-911-17521","YogaTrain # M (EUR L)","MLL02R0802","1752100010001","500","500","0","0","0","0","mojca12","2022-10-19 07:17:21",NULL,NULL,"single","1"
"110639","17842","2246-911-17842","KitchPro","MLL03R1402","1784200010004","121","121","0","0","0","0","milena12","2022-10-19 07:15:29",NULL,NULL,"single","1"
"110640","18046","2439-911-18046","FreeZero","MB_KOM200","1804600010001","245","244","-1","0","0","0","mojca12","2022-10-20 10:30:01",NULL,NULL,"single","1"
"110641","17957","2383-911-17957","Holis","MDL03R0407","1795700010001","1770","1770","0","0","0","0","lucijan1","2022-10-19 10:20:44",NULL,NULL,"single","1"
"110642","18659","2643-911-18659","Capelnino # Blondie","MLL01R1302","1865900010001","3000","3000","0","0","0","0","ermin12","2022-10-19 12:00:11",NULL,NULL,"single","1"
"110643","18067","2440-911-18067","Twistty","MLL02R1901","1806700010001","450","450","0","0","0","0","mojca12","2022-10-19 07:32:47",NULL,NULL,"single","1"
"110644","18589","2616-911-18589","Stitchy","MB_KOM167","1858900010001","370","372","2","0","0","0","mojca12","2022-10-19 14:11:14",NULL,NULL,"single","1"
"110645","16726","1986-911-16726","Shappies # XXL","MLL02R1606","1672600010002","1000","1000","0","0","0","0","milena12","2022-10-20 12:39:27",NULL,NULL,"single","1"
"110646","17852","2352-911-17852","Coatsy","MB_KOM217","1785200010004","62","62","0","0","0","0","lucijan1","2022-10-20 08:52:38",NULL,NULL,"single","1"
"110647","18005","2424-911-18005","Hatix","MDL02R1108","1800500010002","7680","7680","0","0","0","0","urska1","2022-10-19 09:57:36",NULL,NULL,"single","1"
"110648","18449","2502-911-18449","Convila #XXXL (EUR XXL)","MLL03R1102","1844900010001","97","100","3","0","0","0","milena12","2022-10-19 07:20:06",NULL,NULL,"single","1"
"110649","20084","2161-911-20084","Gredy # 42/43","MLL02R1208","2008400010001","300","300","0","0","0","0","mojca12","2022-10-19 07:44:03",NULL,NULL,"single","1"
"110650","16789","2007-911-16789","Siena # Beige","MDL04R1006","1678900010001","800","800","0","0","0","0","mojca12","2022-10-19 08:59:21",NULL,NULL,"single","1"
"110651","16490","1942-911-16490","X-look (with case)","MB_B46","1649000010001","84","82","-2","0","0","0","milena12","2022-10-19 13:43:56",NULL,NULL,"single","1"
"110652","18736","2673-911-18736","Ledea","MLL01R0103","1873600010002","160","160","0","0","0","0","lucijan1","2022-10-19 08:14:14",NULL,NULL,"single","1"
"110653","7437","1112-911-7437","GoliatX","MDL04R1103","743700010001","525","521","-4","0","0","0","urska1","2022-10-20 10:33:19",NULL,NULL,"single","1"
"110654","18688","2589-911-18688","Bindsy","MLL01R1606","1868800010002","720","720","0","0","0","0","lucijan1","2022-10-19 07:27:49",NULL,NULL,"single","1"
"110655","18821","2994-911-18821","TaperiorX","MB_KOM213","1882100010001","38","38","0","0","0","0","lucijan1","2022-10-20 09:37:21",NULL,NULL,"single","1"
"110656","18674","2598-911-18674","Rollend","MB_KOM154","1867400010002","31","31","0","0","0","0","mojca12","2022-10-19 14:19:19",NULL,NULL,"single","1"
"110657","17631","2184-911-17631","AstraX","MLL03R0107","1763100010002","400","400","0","0","0","0","milena12","2022-10-19 08:54:25",NULL,NULL,"single","1"
"110658","16743","1987-911-16743","Sonya","MLL03R0304","1674300010002","800","800","0","0","0","0","milena12","2022-10-19 07:59:20",NULL,NULL,"single","1"
"110659","18598","2623-911-18598","Strailer","MLL03R0604","1859800010001","500","500","0","0","0","0","milena12","2022-10-19 08:12:58",NULL,NULL,"single","1"
"110660","17842","2246-911-17842","KitchPro","MLL01R0507","1784200010005","58","0","-58","0","0","0","mojca12","2022-10-19 08:06:29",NULL,NULL,"single","1"
"110661","18656","2637-911-18656","Taptor","MLL02R1205","1865600010002","350","350","0","0","0","0","mojca12","2022-10-19 07:23:47",NULL,NULL,"single","1"
"110662","18739","2682-911-18739","Plantigo","MLL02R1502","1873900010002","140","140","0","0","0","0","mojca12","2022-10-19 07:27:55",NULL,NULL,"single","1"
"110663","18804","2698-911-18804","BubbleTop # 12H","MB_KOM314","1880400010001","67","67","0","0","0","0","lucijan1","2022-10-20 07:54:18",NULL,NULL,"single","1"
"110664","18553","2363-911-18553","Hilley # 46 (EUR 45)","MB_KOM172","1855300010001","9","9","0","0","0","0","mojca12","2022-10-19 14:15:26",NULL,NULL,"single","1"
"110665","18595","2618-911-18595","Compaxy","MDL02R1003","1859500010001","400","400","0","0","0","0","urska1","2022-10-19 08:42:28",NULL,NULL,"single","1"
"110666","18364","2487-911-18364","Trapero","MLL02R0804","1836400010001","560","560","0","0","0","0","mojca12","2022-10-19 07:17:53",NULL,NULL,"single","1"
"110667","18570","2615-911-18570","CakeIt","MDL01R1602","1857000010001","102","102","0","0","0","0","urska1","2022-10-19 07:26:41",NULL,NULL,"single","1"
"110668","18155","2472-911-18155","Ruddler","MLL01R1401","1815500010001","320","320","0","0","0","0","lucijan1","2022-10-19 07:30:54",NULL,NULL,"single","1"
"110669","17497","1379-911-17497","Ezen #Aquarius #Gold","MB_BN030501","1749700010002","13","11","-2","0","0","0","milena12","2022-10-19 12:49:11",NULL,NULL,"single","1"
"110670","14591","1704-911-14591","MrStylor # 41","MDL03R0406","1459100010001","110","110","0","0","0","0","lucijan1","2022-10-19 11:57:30",NULL,NULL,"single","1"
"110671","18005","2424-911-18005","Hatix","MB_KOM337","1800500010003","236","239","3","0","0","0","milena12","2022-10-19 14:35:16",NULL,NULL,"single","1"
"110672","14177","1538-911-14177","Kristy #7","MB_KOM345","1417700010002","1","1","0","0","0","0","milena12","2022-10-20 07:31:51",NULL,NULL,"single","1"
"110673","17959","2386-911-17959","Triell # 36-37","MLL03R0703","1795900010003","440","440","0","0","0","0","milena12","2022-10-19 07:25:35",NULL,NULL,"single","1"
"110674","18532","2532-911-18532","Clocky","MDL02R1104","1853200010001","180","180","0","0","0","0","urska1","2022-10-19 09:32:47",NULL,NULL,"single","1"
"110675","18045","2435-911-18045","Toccario","MDL03R0606","1804500010001","3036","1979","-1057","0","0","0","ermin12","2022-10-20 07:49:26",NULL,NULL,"single","1"
"110676","14892","1767-911-14892","Unyka Taurus","MB_BN040505","1489200010002","1","0","-1","0","0","0","milena12","2022-10-19 13:26:19",NULL,NULL,"single","1"
"110677","2309","0341-911-2309","Omega 936 Project (LV)","MB_BK_LV","230900010003","18","18","0","0","0","0","milena12","2022-10-19 10:15:37",NULL,NULL,"single","1"
"110678","16742","1988-911-16742","Reinimitte","MDL03R0208","1674200010002","313","600","287","0","0","0","lucijan1","2022-10-19 08:50:42",NULL,NULL,"single","1"
"110679","17873","2357-911-17873","FidgyCube # Blue","MLL01R0107","1787300010001","794","794","0","0","0","0","urska1","2022-10-20 08:08:48",NULL,NULL,"single","1"
"110680","17842","2246-911-17842","KitchPro","MDL01R0705","1784200010007","114","114","0","0","0","0","urska1","2022-10-19 07:37:28",NULL,NULL,"single","1"
"110681","18776","2985-911-18776","Pinklo","MLL02R1803","1877600010002","20","20","0","0","0","0","mojca12","2022-10-19 07:32:00",NULL,NULL,"single","1"
"110682","17210","2107-911-17210","GrillMat","MB_KOM100","1721000010001","207","209","2","0","0","0","mojca12","2022-10-19 13:23:56",NULL,NULL,"single","1"
"110683","20202","2440-911-20202","Twistty # Green","MLL02R1008","2020200010003","180","180","0","0","0","0","mojca12","2022-10-19 07:48:17",NULL,NULL,"single","1"
"110684","17973","2409-911-17973","Hamsty","MDL03R0202","1797300010002","1900","1400","-500","0","0","0","lucijan1","2022-10-19 10:06:20",NULL,NULL,"single","1"
"110685","17963","2385-911-17963","Santy # S-M","MDL03R0402","1796300010002","1300","1300","0","0","0","0","lucijan1","2022-10-19 10:13:04",NULL,NULL,"single","1"
"110686","17012","2020-911-17012","Dejuxi # Pink","MDL01R1701","1701200010001","24","24","0","0","0","0","mojca12","2022-10-20 08:13:14",NULL,NULL,"single","1"
"110687","17501","1379-911-17501","Ezen #Gemini #Gold","MB_BN030402","1750100010002","11","11","0","0","0","0","milena12","2022-10-19 12:27:03",NULL,NULL,"single","1"
"110688","18387","2486-911-18387","PopFun","MDL03R0404","1838700010001","149","161","12","0","0","0","milena12","2022-10-20 09:56:08",NULL,NULL,"single","1"
"110689","5893","0880-911-5893","NanoFlex M","MB_B53","589300010003","12","11","-1","0","0","0","milena12","2022-10-19 13:59:33",NULL,NULL,"single","1"
"110690","18128","2449-911-18128","Waferro","MDL02R1106","1812800010002","1337","1337","0","0","0","0","urska1","2022-10-19 09:29:52",NULL,NULL,"single","1"
"110691","17499","1379-911-17499","Ezen #Cancer #Gold","MB_BN030502","1749900010002","12","13","1","0","0","0","milena12","2022-10-19 12:47:52",NULL,NULL,"single","1"
"110692","17500","1379-911-17500","Ezen #Capricorn #Gold","MB_BN030503","1750000010002","10","9","-1","0","0","0","milena12","2022-10-19 12:46:44",NULL,NULL,"single","1"
"110693","16726","1986-911-16726","Shappies # XXL","MDL01R1103","1672600010003","60","60","0","0","0","0","urska1","2022-10-19 07:22:01",NULL,NULL,"single","1"
"110694","17673","2204-911-17673","Jurco","MDL03R0607","1767300010003","215","215","0","0","0","0","lucijan1","2022-10-19 09:00:04",NULL,NULL,"single","1"
"110695","18043","2436-911-18043","TargetOn","MB_KOM101","1804300010002","7","6","-1","0","0","0","mojca12","2022-10-19 12:41:39",NULL,NULL,"single","1"
"110696","17986","2374-911-17986","Dolly","MLL01R0702","1798600010008","168","168","0","0","0","0","lucijan1","2022-10-19 07:51:58",NULL,NULL,"single","1"
"110697","973","0309-911-973","Diabetes NoMore (LV)","MB_LV","97300010001","2","2","0","0","0","0","milena12","2022-10-19 09:51:25",NULL,NULL,"single","1"
"110698","12998","1538-911-12998","Kristy #6","MB_KOM345","1299800010002","1","0","-1","0","0","0","milena12","2022-10-20 07:34:04",NULL,NULL,"single","1"
"110699","18068","2443-911-18068","Tireon","MB_KOM328","1806800010001","11","11","0","0","0","0","milena12","2022-10-19 14:18:56",NULL,NULL,"single","1"
"110700","17842","2246-911-17842","KitchPro","MDL01R1204","1784200010008","160","160","0","0","0","0","urska1","2022-10-19 07:34:12",NULL,NULL,"single","1"
"110701","314","0295-911-314","RectiStop","MB_KOM260","31400010008","103","103","0","0","0","0","lucijan1","2022-10-19 12:41:03",NULL,NULL,"single","1"
"110702","18062","2394-911-18062","Lighty","MDL03R0503","1806200010002","2440","2440","0","0","0","0","lucijan1","2022-10-19 09:47:11",NULL,NULL,"single","1"
"110703","14890","1767-911-14890","Unyka Sagittarius","MB_BN040502","1489000010002","18","18","0","0","0","0","milena12","2022-10-19 13:25:08",NULL,NULL,"single","1"
"110704","18659","2643-911-18659","Capelnino # Blondie","MB_KOM254","1865900010002","312","310","-2","0","0","0","lucijan1","2022-10-19 13:53:27",NULL,NULL,"single","1"
"110705","18518","2552-911-18518","Nuton","MB_KOM233","1851800010003","15","15","0","0","0","0","lucijan1","2022-10-20 08:30:04",NULL,NULL,"single","1"
"110706","17969","2412-911-17969","Comzie # Rose gold","MDL04R1101","1796900010004","600","600","0","0","0","0","mojca12","2022-10-19 08:58:33",NULL,NULL,"single","1"
"110707","14319","1588-911-14319","Celina","MB_BN010306","1431900010002","7","7","0","0","0","0","milena12","2022-10-19 11:57:47",NULL,NULL,"single","1"
"110708","14883","1767-911-14883","Unyka Aries","MB_BN040401","1488300010003","24","24","0","0","0","0","milena12","2022-10-19 13:23:30",NULL,NULL,"single","1"
"110709","471","0361-911-471","Pingulingo","MDL04R1002","47100010004","2112","2112","0","0","0","0","mojca12","2022-10-19 09:27:34",NULL,NULL,"single","1"
"110710","17975","2399-911-17975","ToyVille","MLL04R1301","1797500010002","249","249","0","0","0","0","urska1","2022-10-19 07:55:43",NULL,NULL,"single","1"
"110711","16782","2001-911-16782","Belinda","MDL03R0603","1678200010002","360","360","0","0","0","0","lucijan1","2022-10-19 09:33:36",NULL,NULL,"single","1"
"110712","17960","2386-911-17960","Triell # 38-39","MLL03R0706","1796000010002","320","320","0","0","0","0","milena12","2022-10-19 08:18:35",NULL,NULL,"single","1"
"110713","18020","2396-911-18020","Scrapily # Blue","MDL03R0604","1802000010003","1250","1250","0","0","0","0","lucijan1","2022-10-19 12:01:17",NULL,NULL,"single","1"
"110714","18007","2452-911-18007","Yingo # Gray","MDL04R0905","1800700010001","100","100","0","0","0","0","mojca12","2022-10-19 09:45:15",NULL,NULL,"single","1"
"110715","16490","1942-911-16490","X-look (with case)","MDL01R1001","1649000010003","303","303","0","0","0","0","urska1","2022-10-19 07:20:29",NULL,NULL,"single","1"
"110716","16741","1989-911-16741","SlipNix","MDL03R0509","1674100010003","1368","576","-792","0","0","0","lucijan1","2022-10-19 08:57:54",NULL,NULL,"single","1"
"110717","17974","2413-911-17974","DuckyDance","MDL02R1002","1797400010001","445","445","0","0","0","0","mojca12","2022-10-20 09:40:59",NULL,NULL,"single","1"
"110718","17971","2410-911-17971","Scuppy # Blue","MDL04R0903","1797100010004","329","336","7","0","0","0","mojca12","2022-10-19 09:41:15",NULL,NULL,"single","1"
"110719","18043","2436-911-18043","TargetOn","MLL01R0608","1804300010003","120","120","0","0","0","0","mojca12","2022-10-19 08:03:32",NULL,NULL,"single","1"
"110720","1622","0329-911-1622","Tesla energy saver ECO (GR)","MB_GR","162200010001","77","78","1","0","0","0","milena12","2022-10-19 09:46:25",NULL,NULL,"single","1"
"110721","17948","2381-911-17948","Gliff # Pink 38-39","MDL03R0601","1794800010002","460","460","0","0","0","0","milena12","2022-10-20 08:46:43",NULL,NULL,"single","1"
"110722","18753","2690-911-18753","Rulero","MB_KOM352","1875300010001","18","18","0","0","0","0","milena12","2022-10-20 07:47:54",NULL,NULL,"single","1"
"110723","18034","2373-911-18034","Ballony","MB_KOM247","1803400010001","4","4","0","0","0","0","lucijan1","2022-10-19 13:44:13",NULL,NULL,"single","1"
"110724","18656","2637-911-18656","Taptor","MB_KOM349","1865600010004","4","4","0","0","0","0","milena12","2022-10-20 07:49:53",NULL,NULL,"single","1"
"110725","20083","3029-911-20083","Moverro","MB_KOM349","2008300010002","7","7","0","0","0","0","milena12","2022-10-20 07:50:12",NULL,NULL,"single","1"
"110726","17972","2410-911-17972","Scuppy # Brown","MDL04R0906","1797200010001","335","336","1","0","0","0","mojca12","2022-10-19 09:51:13",NULL,NULL,"single","1"
"110727","18011","2403-911-18011","Zimbo # Purple","MDL03R0502","1801100010002","280","280","0","0","0","0","lucijan1","2022-10-19 09:49:22",NULL,NULL,"single","1"
"110728","17842","2246-911-17842","KitchPro","MLL01R0409","1784200010010","80","80","0","0","0","0","mojca12","2022-10-19 08:07:12",NULL,NULL,"single","1"
"110729","18025","2393-911-18025","Dryeri","MDL04R1203","1802500010002","960","960","0","0","0","0","mojca12","2022-10-19 08:46:41",NULL,NULL,"single","1"
"110730","18605","2627-911-18605","Vivienne # Black C","MB_KOM107","1860500010001","194","0","-194","0","0","0","mojca12","2022-10-19 12:43:43",NULL,NULL,"single","1"
"110731","18073","2447-911-18073","Xcalzini","MDL02R1107","1807300010003","1440","1440","0","0","0","0","urska1","2022-10-19 09:50:36",NULL,NULL,"single","1"
"110732","1622","0329-911-1622","Tesla energy saver ECO (GR)","MLL03R1002","162200010002","322","804","482","0","0","0","lucijan1","2022-10-20 10:22:30",NULL,NULL,"single","1"
"110733","18826","2999-911-18826","Fuzclean","MB_KOM358","1882600010001","9","9","0","0","0","0","milena12","2022-10-20 07:45:07",NULL,NULL,"single","1"
"110734","17840","2020-911-17840","Dejuxi # Blue","MDL01R0901","1784000010003","20","20","0","0","0","0","urska1","2022-10-19 07:19:03",NULL,NULL,"single","1"
"110735","18552","2363-911-18552","Hilley # 45 (EUR 44)","MLL03R0101","1855200010001","100","100","0","0","0","0","milena12","2022-10-19 07:45:57",NULL,NULL,"single","1"
"110736","18034","2373-911-18034","Ballony","MLL03R0505","1803400010003","300","300","0","0","0","0","milena12","2022-10-19 08:07:14",NULL,NULL,"single","1"
"110737","8240","1174-911-8240","Walby","MDL03R0204","824000010002","200","200","0","0","0","0","mojca12","2022-10-19 10:12:15",NULL,NULL,"single","1"
"110738","16870","2054-911-16870","Sherdy","MDL04R0801","1687000010002","200","200","0","0","0","0","mojca12","2022-10-19 09:53:17",NULL,NULL,"single","1"
"110739","402","0329-911-402","Tesla energy saver ECO (HR)","MB_HR","40200010002","55","0","-55","0","0","0","milena12","2022-10-19 09:47:16",NULL,NULL,"single","1"
"110740","354","0013-811-354","Secrets of Alpha Males (SI)","MB_SI","35400010002","2","3","1","0","0","0","milena12","2022-10-19 10:00:34",NULL,NULL,"single","1"
